id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
54136671,Earthen home in Narrawong · ★4.70 · 2 bedrooms · 3 beds · 1 bath,98853338,Glenelg,-38.25126,141.73598,Entire home/apt,200,2,61,08-12-2023,2.59,1,329,36
54150245,Home in Torquay · ★4.97 · 4 bedrooms · 5 beds · 4 baths,51678707,Surf Coast,-38.30584,144.34914,Entire home/apt,1144,2,38,04-12-2023,1.59,153,52,30
54151558,Townhouse in Torquay · ★4.86 · 4 bedrooms · 5 beds · 3 baths,439025352,Surf Coast,-38.30776,144.35404,Entire home/apt,535,2,59,24-12-2023,2.67,1,345,25
54166809,Cottage in Bellbrae · ★4.69 · 3 bedrooms · 7 beds · 1 bath,132270560,Surf Coast,-38.33182,144.26242,Entire home/apt,357,2,29,11-06-2023,1.23,1,25,16
54167248,Guesthouse in Portland · ★4.78 · 3 bedrooms · 4 beds · 1 bath,180456562,Glenelg,-38.33741,141.57694,Entire home/apt,240,2,18,30-11-2023,0.76,1,329,9
54168940,Home in Saint Leonards · 3 bedrooms · 7 beds · 2 baths,439183014,Greater Geelong,-38.15676,144.71482,Entire home/apt,700,2,2,26-12-2022,0.11,1,174,0
54170582,Guesthouse in Colac · ★4.91 · Studio · 4 beds · 1 bath,399579842,Colac Otway,-38.35014,143.59658,Entire home/apt,151,1,159,19-12-2023,6.63,1,0,76
54196786,Guesthouse in Barwon Heads · ★4.93 · 1 bedroom · 2 beds · 1 bath,64083929,Greater Geelong,-38.26754,144.48677,Entire home/apt,213,2,89,18-11-2023,4.24,1,0,43
54215704,Home in Portland North · ★4.95 · 3 bedrooms · 4 beds · 2 baths,439615672,Glenelg,-38.31243,141.55949,Entire home/apt,250,2,58,23-12-2023,2.45,1,309,21
54236025,Cottage in Bolwarra · ★4.92 · 3 bedrooms · 3 beds · 1 bath,134652806,Glenelg,-38.2935,141.63046,Entire home/apt,210,2,13,07-11-2023,0.56,2,318,10
54247940,Vacation home in Mount Duneed · ★4.92 · 4 bedrooms · 4 beds · 2 baths,439913761,Greater Geelong,-38.2491,144.34317,Entire home/apt,520,1,73,10-12-2023,3.17,1,69,17
54251755,Townhouse in Point Lonsdale · ★4.67 · 3 bedrooms · 4 beds · 2 baths,48374404,Greater Geelong,-38.27305,144.61035,Entire home/apt,375,7,3,02-01-2023,0.15,1,327,1
54253047,Serviced apartment in Lorne · ★4.85 · 2 bedrooms · 5 beds · 1 bath,32653524,Surf Coast,-38.54168,143.97608,Entire home/apt,250,2,20,28-10-2023,1.88,1,142,20
54264308,Home in Lorne · 4 bedrooms · 7 beds · 2 baths,84586909,Surf Coast,-38.52918,143.97732,Entire home/apt,401,2,2,04-07-2023,0.13,587,126,1
54280567,Vacation home in Ocean Grove · ★4.62 · 3 bedrooms · 7 beds · 1 bath,370342535,Greater Geelong,-38.26435,144.55239,Entire home/apt,450,3,13,10-04-2023,0.56,1,29,5
54280784,Vacation home in Barongarook West · ★4.96 · 1 bedroom · 1 bed · 1 bath,102541386,Colac Otway,-38.44555246,143.564436,Entire home/apt,270,2,71,27-11-2023,3.03,3,161,38
